Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,1,148,8,Some Random Commen with Id 0
1,0,1,149,3,Some Random Commen with Id 1
2,0,1,86,1,Some Random Commen with Id 2
3,0,1,181,1,Some Random Commen with Id 3
4,1,2,54,8,Some Random Commen with Id 4
5,1,2,69,7,Some Random Commen with Id 5
6,1,2,180,7,Some Random Commen with Id 6
7,2,8,143,0,Some Random Commen with Id 7
8,2,8,48,3,Some Random Commen with Id 8
9,2,8,40,0,Some Random Commen with Id 9
10,3,0,61,9,Some Random Commen with Id 10
11,3,0,70,2,Some Random Commen with Id 11
12,3,0,128,6,Some Random Commen with Id 12
13,3,0,132,3,Some Random Commen with Id 13
14,4,6,71,0,Some Random Commen with Id 14
15,4,6,195,9,Some Random Commen with Id 15
16,4,6,48,6,Some Random Commen with Id 16
17,5,4,126,6,Some Random Commen with Id 17
18,5,4,34,2,Some Random Commen with Id 18
19,5,4,79,3,Some Random Commen with Id 19
20,6,3,73,6,Some Random Commen with Id 20
21,6,3,58,0,Some Random Commen with Id 21
22,6,3,15,4,Some Random Commen with Id 22
23,6,3,122,3,Some Random Commen with Id 23
24,6,3,95,4,Some Random Commen with Id 24
25,6,3,103,6,Some Random Commen with Id 25
26,6,3,32,7,Some Random Commen with Id 26
27,6,3,32,1,Some Random Commen with Id 27
28,6,3,40,2,Some Random Commen with Id 28
29,7,6,107,1,Some Random Commen with Id 29
30,7,6,137,9,Some Random Commen with Id 30
31,7,6,161,2,Some Random Commen with Id 31
32,7,6,92,2,Some Random Commen with Id 32
33,7,6,78,6,Some Random Commen with Id 33
34,7,6,150,6,Some Random Commen with Id 34
35,7,6,13,2,Some Random Commen with Id 35
36,7,6,128,9,Some Random Commen with Id 36
37,8,2,179,0,Some Random Commen with Id 37
38,8,2,12,2,Some Random Commen with Id 38
39,8,2,196,0,Some Random Commen with Id 39
40,8,2,68,7,Some Random Commen with Id 40
41,8,2,145,2,Some Random Commen with Id 41
42,8,2,47,7,Some Random Commen with Id 42
43,8,2,24,4,Some Random Commen with Id 43
44,8,2,176,3,Some Random Commen with Id 44
45,9,0,17,9,Some Random Commen with Id 45
46,9,0,172,8,Some Random Commen with Id 46
47,9,0,120,5,Some Random Commen with Id 47
48,9,0,102,8,Some Random Commen with Id 48
49,10,9,30,6,Some Random Commen with Id 49
50,10,9,129,8,Some Random Commen with Id 50
51,10,9,189,0,Some Random Commen with Id 51
52,10,9,120,2,Some Random Commen with Id 52
53,10,9,25,4,Some Random Commen with Id 53
54,11,4,154,2,Some Random Commen with Id 54
55,11,4,102,7,Some Random Commen with Id 55
56,11,4,119,6,Some Random Commen with Id 56
57,11,4,138,7,Some Random Commen with Id 57
58,11,4,54,8,Some Random Commen with Id 58
59,12,1,40,0,Some Random Commen with Id 59
60,12,1,32,5,Some Random Commen with Id 60
61,12,1,42,3,Some Random Commen with Id 61
62,12,1,180,3,Some Random Commen with Id 62
63,12,1,112,2,Some Random Commen with Id 63
64,12,1,44,6,Some Random Commen with Id 64
65,12,1,196,5,Some Random Commen with Id 65
66,12,1,17,2,Some Random Commen with Id 66
67,12,1,196,0,Some Random Commen with Id 67
68,13,1,58,3,Some Random Commen with Id 68
